"","Team","Position","Injury","Injury Status","Date","Short_Name","Full_Name"
"320","NYG","ILB","Knee - ACL","IR. Injured Reserve",2021-09-29,"B. Martinez","Blake Martinez"
"321","TEN","TE","Knee - ACL","IR. Injured Reserve",2021-09-29,"B. Moore-McKinney","Briley Moore-McKinney"
"322","LAR","LB","Pectoral","IR. Injured Reserve. Expected Return - Week 8",2021-09-28,"J. Hollins","Justin Hollins"
"323","PHI","OG","Foot","IR. Injured Reserve",2021-09-28,"I. Seumalo","Isaac Seumalo"
"324","NYG","OG","Knee","IR. Injured Reserve",2021-09-23,"S. Lemieux","Shane Lemieux"
"325","PHI","OG","Pectoral","IR. Injured Reserve. Expected Return - Week 10",2021-09-23,"B. Brooks","Brandon Brooks"
"326","JAC","TE","Ankle","IR. Injured Reserve. Expected Return - Week 9",2021-09-22,"J. O'Shaughnessy","James O'Shaughnessy"
"327","DEN","ILB","Pectoral","IR. Injured Reserve",2021-09-21,"J. Jewell","Josey Jewell"
"328","NYG","OG","Lower Leg","IR. Injured Reserve",2021-09-21,"N. Gates","Nick Gates"
"329","PHI","DE","Achilles","IR. Injured Reserve",2021-09-21,"B. Graham","Brandon Graham"
"330","PIT","DE","Ankle","IR. Injured Reserve",2021-09-20,"T. Alualu","Tyson Alualu"
"331","NE","K","Abdomen","IR. Injured Reserve. Expected Return - Week 9",2021-09-18,"Q. Nordin","Quinn Nordin"
"332","LV","OG","Knee - ACL","IR. Injured Reserve",2021-09-15,"D. Good","Denzelle Good"
"333","LV","DT","Knee","IR. Injured Reserve",2021-09-15,"G. McCoy","Gerald McCoy"
"334","SF","DB","Knee - ACL","IR. Injured Reserve",2021-09-15,"J. Verrett","Jason Verrett"
"335","NYJ","FS","Triceps","IR. Injured Reserve",2021-09-14,"L. Joyner","Lamarcus Joyner"
"336","DET","CB","Achilles","IR. Injured Reserve",2021-09-13,"J. Okudah","Jeff Okudah"
"337","BAL","RB","Knee - ACL","IR. Injured Reserve",2021-09-10,"G. Edwards","Gus Edwards"
"338","BAL","CB","Knee - ACL","IR. Injured Reserve",2021-09-10,"M. Peters","Marcus Peters"
"339","CLE","OG","Knee","IR. Injured Reserve",2021-09-04,"D. Forbes","Drew Forbes"
"340","LAR","RB","Achilles","IR. Reserve - Non Football Injury",2021-09-03,"C. Akers","Cam Akers"
"341","CHI","OT","Back","IR. Injured Reserve. Expected Return - Week 9",2021-09-01,"T. Jenkins","Teven Jenkins"
"342","CLE","LB","Biceps","IR. Injured Reserve",2021-09-01,"J. Phillips","Jacob Phillips"
"343","MIN","TE","Knee - Meniscus","IR. Injured Reserve",2021-09-01,"I. Smith","Irv Smith"
"344","ATL","OT","Undisclosed","Physically Unable to Perform. Expected Return - Week 8",2021-08-31,"M. Gono","Matt Gono"
"345","BAL","OT","Achilles","NFI-R for Week 9 vs. Minnesota",2021-08-31,"J. James","Ja'Wuan James"
"346","CAR","LS","Hip","IR. Injured Reserve",2021-08-31,"T. Fletcher","Thomas Fletcher"
"347","CIN","DE","Pectoral","NFI-R for Week 8 at N.Y. Jets",2021-08-31,"W. Hubert","Wyatt Hubert"
"348","CIN","DE","Knee - Meniscus","IR. Injured Reserve",2021-08-31,"J. Ossai","Joseph Ossai"
"349","DAL","DT","Knee - ACL","Physically Unable to Perform. Expected Return - Week 8",2021-08-31,"T. Hill","Trysten Hill"
"350","DAL","WR","Knee - Meniscus","NFI-R for Week 8 at Minnesota",2021-08-31,"T. Vasher","T.J. Vasher"
"351","JAC","LB","Knee","NFI-R for Week 8 at Seattle",2021-08-31,"D. Moses","Dylan Moses"
"352","MIA","OT","Knee","IR. Injured Reserve",2021-08-31,"L. Coleman","Larnel Coleman"
"353","NE","LB","Knee - ACL","NFI-R for Week 8 at L.A. Chargers",2021-08-31,"C. McGrone","Cameron McGrone"
"354","PIT","QB","Toe","IR. Injured Reserve",2021-08-31,"J. Dobbs","Joshua Dobbs"
"355","TB","WR","Knee","Physically Unable to Perform. Expected Return - Week 12",2021-08-31,"J. Watson","Justin Watson"
"356","BAL","RB","Knee - ACL","IR. Injured Reserve",2021-08-30,"J. Dobbins","J.K. Dobbins"
"357","IND","OT","Knee - ACL","IR. Injured Reserve",2021-08-30,"S. Tevi","Sam Tevi"
"358","DEN","OT","Knee - ACL","IR. Injured Reserve",2021-08-26,"C. Conway","Cody Conway"
"359","DEN","ILB","Leg","IR. Injured Reserve",2021-08-26,"N. Patrick","Natrez Patrick"
"360","NYJ","DE","Illness","NFI-R for Week 8 vs. Cincinnati",2021-08-26,"V. Curry","Vinny Curry"
